Entity_1,Entity_2,Relation,Mode,Evidence_PMID,Evidence_Sents,Confirmation_without_context,Confirmation_with_context
aspartame,angiogenesis,pos,direct,24925367,"In CAM assay, aspartame increased angiogenesis in a concentration-dependent manner.",Unknown - The role of Aspartame in promoting angiogenesis is not well established.,True: The context suggests that Aspartame increases angiogenesis in a concentration-dependent manner.
aspartame,angiogenesis,pos,direct,24925367,These results provide evidence that aspartame induces angiogenesis in vitro and in vivo; so regular use may have undesirable effect on susceptible cases.,Unknown - The role of Aspartame in promoting angiogenesis is not well established.,True: The context suggests that Aspartame induces angiogenesis in vitro and in vivo.
cationic peptides,angiogenesis,pos,direct,30799089,"In further studies, we performed tube formation assays using HUVECs pretreated with SU5416, which inhibits vascular endothelial growth factor  receptors, and suggested the possibility that the three cationic peptides induce angiogenesis by activating VEGF receptors.",True - Certain cationic peptides have been shown to promote angiogenesis.,True - The context suggests that cationic peptides promote angiogenesis via activating VEGF receptors.
Robo4,angiogenesis,neg,direct,27882935,"We conclude that Robo4 inhibits angiogenesis and vessel permeability independently of its cytoplasmic domain, while activating VEGFR2-Y951 via ROBO4 inhibition might accelerate tissue revascularization in retinopathy of prematurity and in diabetic patients.",True - Robo4 has been shown to inhibit angiogenesis.,True - The context suggests that Robo4 reduces angiogenesis.
PZOPZ hydrogel,angiogenesis,pos,direct,36473731,"In vivo investigations verified that the PZOPZ hydrogel could increase angiogenesis and dermal collagen synthesis and shorten the transition from the inflammatory to the proliferative stage, thereby providing more favorable conditions for faster wound healing.",Unknown - The role of PZOPZ hydrogel in promoting angiogenesis is not well established.,True: The context suggests that the PZOPZ hydrogel promotes angiogenesis.
ODPA hydrogel,angiogenesis,pos,direct,36049562,"Compared with commercial alginate sponge, ODPA hydrogel can accelerate the healing of infected full-thickness wound by reducing inflammation, promoting angiogenesis, and collagen deposition.",Unknown - The role of ODPA hydrogel in promoting angiogenesis is not well established.,True: The context suggests that the ODPA hydrogel promotes angiogenesis.
Isoliquiritin,angiogenesis,pos,direct,32135341,Isoliquiritin promote angiogenesis by recruiting macrophages to improve the healing of zebrafish wounds.,True - Isoliquiritin has been shown to promote angiogenesis.,True - The context confirms that Isoliquiritin promotes angiogenesis.
keratinocyte integrin,wound angiogenesis,pos,direct,30878678,"Previously, we established that keratinocyte integrin Î±3Î²1 promotes wound angiogenesis through paracrine stimulation of endothelial cells.",True - Keratinocyte integrin can promote wound angiogenesis.,True - The context indicates that keratinocyte integrin promotes wound angiogenesis.
Hyaluronan oligosaccharides,angiogenesis,pos,direct,27588388,Hyaluronan oligosaccharides promote diabetic wound healing by increasing angiogenesis.,True - Hyaluronan oligosaccharides can promote angiogenesis.,True - The context confirms that Hyaluronan oligosaccharides promote angiogenesis.
mats,angiogenesis,pos,direct,32578587,Liraglutide-loaded PLGA/gelatin electrospun nanofibrous mats promote angiogenesis to accelerate diabetic wound healing via the modulation of miR-29b-3p.,False - The term 'mats' is too vague and cannot be linked to angiogenesis without additional context.,True: The context suggests that Liraglutide-loaded PLGA/gelatin electrospun nanofibrous mats promote angiogenesis.
Asparaginyl endopeptidase,liver sinusoidal endothelial cell angiogenesis,pos,direct,30507245,Asparaginyl endopeptidase may promote liver sinusoidal endothelial cell angiogenesis via PI3K/Akt pathway.,True - Asparaginyl endopeptidase has been shown to promote liver sinusoidal endothelial cell angiogenesis.,True - The context suggests that Asparaginyl endopeptidase promotes liver sinusoidal endothelial cell angiogenesis.
celastrol,angiogenesis,neg,direct,24157922,These results suggest that celastrol inhibits LPS-induced angiogenesis by suppressing TLR4-triggered NF-ÎºB activation.,True - Celastrol has been shown to reduce angiogenesis.,True - The context suggests that celastrol reduces angiogenesis.
Netrins,angiogenesis,pos,direct,33691313,"Since Netrins also have immunomodulatory properties, and can promote angiogenesis and re-innervation, they hold great promise as potential factors in future wound healing therapies.",True - Netrins have been reported to promote angiogenesis.,True - The context suggests that Netrins promote angiogenesis.
Graphene Oxide Incorporated GelMA Hydrogel,Angiogenesis,pos,direct,31824154,Reduced Graphene Oxide Incorporated GelMA Hydrogel Promotes Angiogenesis For Wound Healing Applications.,True - Graphene Oxide Incorporated GelMA Hydrogel has been reported to promote angiogenesis.,True - The context confirms that Graphene Oxide Incorporated GelMA Hydrogel promotes angiogenesis.
Diphenylhydantoin sodium,angiogenesis,pos,direct,9526520,Diphenylhydantoin sodium promotes early and marked angiogenesis and results in increased collagen deposition and tensile strength in healing wounds.,True - Diphenylhydantoin sodium (Phenytoin) has been shown to promote angiogenesis.,True - The context indicates that Diphenylhydantoin sodium promotes angiogenesis.
Methylprednisolone,bone formation,neg,direct,8519133,Methylprednisolone inhibited pBMP-induced bone formation and incorporation of frozen cortical bone allograft.,"True - Methylprednisolone, a glucocorticoid, is known to reduce bone formation and increase bone resorption, contributing to osteoporosis.","True: Methylprednisolone reduces bone formation. (In your context, it's described to inhibit bone formation.)"
Metformin,bone formation,pos,direct,35621546,HYPOTHESIS: Metformin would be effective for promoting TBI healing by enhancing new bone formation and remodeling.,True - Metformin has been found to have positive effects on bone health and may promote bone formation.,"Unknown: Metformin promotes bone formation. (The context suggests a hypothesis, so while it's possible, further research is needed to confirm.)"
indomethacin,formation of heterotopic bone,neg,direct,8163980,"The results demonstrated that, while indomethacin is effective in decreasing the formation of heterotopic bone, piroxicam--when used in the dosage previously demonstrated to have no deleterious effect on healing bone--is not.","True - Indomethacin, a type of nonsteroidal anti-inflammatory drug (NSAID), has been reported to reduce heterotopic bone formation.","True: indomethacin reduces formation of heterotopic bone. (According to your context, indomethacin is effective in decreasing the formation of heterotopic bone.)"
statins,bone formation,pos,direct,15850082,"The 3-hydroxy-3-methylglutaryl coenzyme A  reductase inhibitors  are widely used for the treatment of hyperlipidemia, and recent in vitro and animal data suggest that statins promote bone formation and increase bone strength.",True - Statins are known to promote bone formation.,"Unknown: statins promote bone formation. (While in vitro and animal data suggest it, human clinical trials are needed to validate.)"
Salvianolic acid B,bone formation,pos,direct,25510675,Salvianolic acid B promotes bone formation by increasing activity of alkaline phosphatase in a rat tibia fracture model: a pilot study.,True - Salvianolic acid B has been found to promote bone formation.,True: Salvianolic acid B promotes bone formation. (Your context suggests it increases bone formation in a rat model.)
TGF-beta,bone formation,pos,direct,10172073, These preliminary studies show that TGF-beta 1 is capable of inducing new bone formation.,True - TGF-beta is known to play a key role in bone remodeling and can promote bone formation.,True: TGF-beta promotes bone formation. (The context suggests TGF-beta 1 can induce new bone formation.)
COX-2 mice,intramembranous bone formation,neg,direct,12045254,"Similarly, intramembranous bone formation on the calvaria was reduced 60% in COX-2 mice following in vivo injection of FGF-1 compared with either COX-1 or wild-type mice.",Unknown - The effects of COX-2 knockout on intramembranous bone formation are not clearly established.,True - The context indicates that intramembranous bone formation was reduced in COX-2 mice.
injection of FGF-1,intramembranous bone formation,neg,direct,12045254,"Similarly, intramembranous bone formation on the calvaria was reduced 60% in COX-2 mice following in vivo injection of FGF-1 compared with either COX-1 or wild-type mice.",Unknown - The effect of FGF-1 injection on intramembranous bone formation is not well documented.,True - The context indicates that the injection of FGF-1 in COX-2 mice resulted in a decrease in intramembranous bone formation.
COX-2 mice,Bone nodule formation,neg,direct,12045254,Bone nodule formation was reduced 50% in COX-2 mice.,Unknown - The effects of COX-2 knockout on bone nodule formation are not clearly established.,True - The context suggests that bone nodule formation was reduced in COX-2 mice.
CGRP,bone formation,pos,direct,33030684,"Peaking at early stage post-fracture, CGRP promotes bone formation, displaying with larger callus.",True - CGRP (Calcitonin Gene-Related Peptide) has been implicated in promoting bone formation.,"True: CGRP promotes bone formation. (CGRP promotes bone formation during early stages post-fracture, according to your context.)"
Nonsteroidal anti-inflammatory drugs,formation of bone,neg,direct,14521300,Nonsteroidal anti-inflammatory drugs  inhibit the formation of bone.,True - NSAIDs (Nonsteroidal anti-inflammatory drugs) have been linked to reduced bone formation and healing.,"True: Nonsteroidal anti-inflammatory drugs reduce formation of bone. (NSAIDs inhibit bone formation, according to the context.)"
LacZ vector,endochondral bone formation,pos,direct,16043092,"While this LacZ vector had no effect on allograft healing, bone morphogenetic protein signals delivered via rAAV-caAlk2 coating induced endochondral bone formation directly on the cortical surface of the allograft by day 14.",Unknown - The effect of a LacZ vector on endochondral bone formation is not well documented.,True - The context suggests that bone morphogenetic protein signals delivered via the LacZ vector induced endochondral bone formation.
NF1 gene,bone formation,pos,direct,32862562,"In summary, we proved the NF1 gene is critical in non-union bone healing, and NF1 overexpression promoted new bone formation after fracture by enhancing autophagy and inhibiting mTORC1 signalling.","False - The NF1 gene is linked to neurofibromatosis, which can cause bone deformities but doesn't promote normal bone formation.","True - According to the context, NF1 overexpression promoted new bone formation."
Carbonated HA,bone formation,pos,direct,26137711,"Carbonated HA obtained by hydrothermal method promoted bone formation in the preformed defects, confirming its efficacy for usage in bone defects.",Unknown - The effect of Carbonated HA (Hydroxyapatite) on bone formation is not well documented.,True - The context suggests that carbonated HA obtained by hydrothermal method promoted bone formation.
NSAID administration,bone formation,neg,direct,30767546,"NSAID administration, specifically selective COX-2 inhibitors could inhibit bone formation around orthopedic implants.",True - NSAID administration is generally associated with a reduction in bone formation.,"True: NSAID administration reduces bone formation. (Specific NSAIDs can inhibit bone formation, according to your context.)"
statin,formation of bone,pos,direct,15620774,"The statin induced and accelerated formation of bone locally, and triggered the early expression of growth factors that regulate angiogenesis, differentiation of bone cells, and osteogenesis.",True - Statins are known to promote bone formation.,True: statin promotes formation of bone. (The context states statin induces bone formation.)
Wnt1,bone formation,pos,direct,36891752,"Therefore, our data indicate that Wnt1 boosts bone formation during fracture healing via YAP/BMP signaling both under healthy and osteoporotic conditions.",True - Wnt1 signaling plays a crucial role in promoting bone formation.,True: Wnt1 promotes bone formation. (Wnt1 is described as boosting bone formation in the context.)
injection of cartilage-derived morphogenetic protein-2,bone formation,pos,direct,12860544,CONCLUSIONS: A single injection of cartilage-derived morphogenetic protein-2 led to a stronger and stiffer tendon callus than that in the controls without inducing bone formation.,True - Injection of cartilage-derived morphogenetic protein-2 (CDMP-2) has been shown to promote bone formation.,"Unknown: injection of cartilage-derived morphogenetic protein-2 promotes bone formation. (The context suggests it strengthens tendon callus, not necessarily bone formation.)"
PS,bone formation,pos,direct,36453484,"PS also prevented osteoblast/osteocyte apoptosis, increased bone formation and mineralisation and subsequently improved trabecular bone microstructures and strength of rats with osteoporosis induced by glucocorticoids.","Unknown - The role of PS (not clearly defined, could refer to Phosphatidylserine or other molecules) in promoting bone formation is not well established.",True - The context suggests that PS prevented osteoblast/osteocyte apoptosis and increased bone formation.
WT mice,bone formation,pos,direct,30423942,"Histologically, bone formation was significantly increased in WT mice that received the BDNF-functionalized cement/MBG composite compared to control WT mice without BDNF.","Unknown - The statement is too general, as it depends on the context, genetic manipulation, and specific condition of the mice.",True - The context suggests that bone formation was increased in WT mice that received the BDNF-functionalized cement/MBG composite.
rhGDF-5 high dose,bone formation,pos,direct,21219393,"The rhGDF-5 high dose supported significantly increased bone formation compared with the low-dose, sham-surgery, and carrier controls  and induced significantly increased cementum formation compared with the controls .",Unknown - The effect of high dose rhGDF-5 on bone formation is not well established.,True - The context suggests that the high dose of rhGDF-5 supported increased bone formation.
simvastatin,bone formation,pos,direct,27300463,"OBJECTIVE: In previous studies, it has been shown that both simvastatin  and platelet-rich plasma  were capable of promoting bone formation.",True - Simvastatin is known to promote bone formation.,"True: simvastatin promotes bone formation. (Simvastatin has been shown to promote bone formation, according to the context.)"
strontium ranelate,callus bone formation,pos,direct,26419471,"While there is no effect in normal bone, in osteoporotic bone, strontium ranelate increases callus bone formation, maturity, and mineralization; forms greater and denser trabeculae; and improves biomechanical properties.",True - Strontium ranelate is known to promote callus bone formation.,True: strontium ranelate promotes callus bone formation. (The context suggests it increases callus bone formation in osteoporotic bone.)
Antihyperlipidemic drug statins,bone formation,pos,direct,26694986,Antihyperlipidemic drug statins reportedly promote both bone formation and soft tissue healing.,True - Antihyperlipidemic drug statins are known to promote bone formation.,True: Antihyperlipidemic drug statins promotes bone formation. (Your context suggests statins promote bone and soft tissue healing.)
HPLA cells,bone formation,pos,direct,15738667,The HPLA cells alone did not induce significant bone formation.,Unknown - The role of HPLA cells in promoting bone formation is not well established.,False - The context states that HPLA cells alone did not induce significant bone formation.
Androgens,local stimulation of bone formation,pos,direct,18324583,AIM: Androgens have proliferative effects on osteoblasts and increase fracture healing by systemic and local stimulation of bone formation.,True - Androgens can stimulate local bone formation.,True: Androgens promotes local stimulation of bone formation. (Androgens are said to stimulate bone formation in the context.)
PTH,bone formation,neg,direct,29886637,"Conclusions: PTH can upregulate the expression of osteoprotegerin and reduce expression of RANKL, thus promoting new bone formation.",False - PTH (Parathyroid hormone) generally promotes bone formation when given intermittently.,False - The context suggests that PTH actually promotes new bone formation by upregulating the expression of osteoprotegerin and reducing the expression of RANKL.
alendronate,bone formation,neg,direct,21275549,Biochemical analysis of bone turnover demonstrated that alendronate inhibited bone resorption from the early phase of the fusion process and also suppressed bone formation after 6 months postoperatively.,"True - Alendronate is a bisphosphonate that reduces bone resorption, but this also can lead to a secondary reduction in bone formation.",True: alendronate reduces bone formation. (Alendronate is described as inhibiting bone resorption and suppressing bone formation in your context.)
Alendronate,bone formation rate,neg,direct,20580684,Alendronate significantly suppressed bone formation rate by 44% compared to the control at 4 weeks.,True - Alendronate is known to reduce the bone formation rate as it inhibits bone resorption.,True: Alendronate reduces bone formation rate. (Alendronate significantly suppressed bone formation rate in your context.)
SDF-1,Bone formation,neg,direct,19248097,"Bone formation was decreased in SDF-1 and CXCR4 mice and was restored by the graft bones from CXCR4 mice transplanted into the SDF-1 femur, but not vice versa.",Unknown - The effect of SDF-1 on bone formation is not well established.,True - The context suggests that bone formation was decreased in SDF-1 and CXCR4 mice.
statins,bone formation,pos,direct,16010034,"Recent studies have reported that statins, inhibitors of hydroxymethylglutaryl-coenzyme A  reductase, increase bone formation in osteoblasts in vitro, suggesting that statins may have a new therapeutic application in the treatment of osteoporosis.",True - Statins are known to promote bone formation.,Unknown: statins promotes bone formation. (Statins have been reported to increase bone formation in vitro. Clinical trials are needed for validation.)
statins,bone formation,pos,direct,16010034,These findings suggest that statins do not increase bone formation in bone marrow-derived mesenchymal stem cells.,True - Statins are known to promote bone formation.,False: statins promotes bone formation. (Your context suggests statins do not increase bone formation in bone marrow-derived mesenchymal stem cells.)
Growth differentiation factor-5,bone formation,pos,direct,21590487,BACKGROUND: Growth differentiation factor-5  is a key regulator of skeletogenesis and bone repair and induces bone formation in spinal fusions and nonunion applications by enhancing chondrocytic and osteocytic differentiation and stimulating angiogenesis.,True - Growth differentiation factor-5 (GDF-5) is known to promote bone formation.,True: Growth differentiation factor-5 promotes bone formation. (Growth differentiation factor-5 is described as a key regulator of bone formation in the context.)
irisin,bone formation,neg,direct,36768133,"Taken together, our findings suggest that irisin can contribute to fracture repair by reducing inflammation and promoting vessel invasion, matrix degradation, and bone formation, supporting its possible role as a novel molecule for fracture treatment.",False - Irisin is a hormone that has been reported to promote bone formation.,"False - The context suggests that irisin can contribute to fracture repair by reducing inflammation and promoting vessel invasion, matrix degradation, and bone formation."
Osteogenic protein-1,bone formation,pos,direct,9115099,"Osteogenic protein-1 , a member of the transforming growth factor-beta family, induces cartilage and bone formation when implanted at intra and extraskeletal sites in vivo.",True - Osteogenic protein-1 (also known as BMP-7) is known to promote bone formation.,True: Osteogenic protein-1 promotes bone formation. (Osteogenic protein-1 induces bone formation according to your context.)
FGF-2 secretion,bone formation,pos,direct,21262969,These results suggest that chemically controlled FGF-2 secretion can significantly increase bone formation by ASCs in vivo.,True - FGF-2 is known to promote bone formation.,True: FGF-2 secretion promotes bone formation. (FGF-2 secretion is suggested to increase bone formation in your context.)
sPL,bone formation,pos,direct,35860524,Conclusion: sPL has a transient pro-inflammatory effect and promotes soft tissue healing and bone formation during early wound healing of extraction sockets in rats.,Unknown - The role of sPL (not clearly defined) in promoting bone formation is not well established.,True - The context suggests that sPL promotes soft tissue healing and bone formation.
HY,bone formation,pos,direct,20600151,"Contrastingly, both HY and HY-SWCNT induced a marked increase in the bone formation  and decreased the cell nuclei amount in the sockets.",Unknown - The role of HY (not clearly defined) in promoting bone formation is not well established.,True - The context suggests that both HY and HY-SWCNT increased bone formation.
EP2,bone formation,pos,direct,20939055,"EP2 and EP4 induce bone formation through the protein kinase A  pathway, whereas EP3 inhibits bone formation in vitro.",True - EP2 receptor signaling has been associated with bone formation.,True: EP2 promotes bone formation. (EP2 induces bone formation through the protein kinase A pathway according to your context.)
titanium dioxide scaffolds,bone formation,pos,direct,22985740,Porous ceramic titanium dioxide scaffolds promote bone formation in rabbit peri-implant cortical defect model.,True - Titanium dioxide scaffolds have been used to promote bone formation in tissue engineering.,True: titanium dioxide scaffolds promotes bone formation. (Titanium dioxide scaffolds are described as promoting bone formation in a rabbit model in your context.)
PTH,bone formation rate,pos,direct,24467747,PTH increased the bone formation rate by 3-fold in normal and by 2-fold in diabetic rats and improved defect regeneration in normal and diabetic rats .,False - PTH (Parathyroid hormone) generally promotes bone formation when given intermittently.,True - The context suggests that PTH increased the bone formation rate in both normal and diabetic rats.
aFGF,bone formation,pos,direct,12080825,CONCLUSION: It can be concluded that aFGF can promote new bone formation and facilitate GBR in bone defect.,True - aFGF (Acidic fibroblast growth factor) is known to promote bone formation.,True: aFGF promotes bone formation. (aFGF can promote new bone formation according to your context.)
activin,endochondral bone formation,pos,direct,10456384,Histological study 2 weeks after the fracture revealed that activin promoted endochondral bone formation.,True - Activin has been shown to promote endochondral bone formation.,True: activin promotes endochondral bone formation. (Activin promoted endochondral bone formation in your context.)
EGF,bone formation,pos,direct,29924961,"Overall, our results indicate that EGF promotes bone formation and microvascularization in ONFH and thus positively affects the preservation of femoral head during healing.",Unknown - The role of EGF (Epidermal Growth Factor) in bone formation is not well established.,True - The context suggests that EGF promotes bone formation and microvascularization.
Basic Fibroblast Growth Factor Fused with,Bone Formation,pos,direct,29770338,Basic Fibroblast Growth Factor Fused with Tandem Collagen-Binding Domains from Clostridium histolyticum Collagenase ColG Increases Bone Formation.,"Unknown - The statement is incomplete. A fusion protein containing Basic Fibroblast Growth Factor could potentially promote bone formation, but specifics are required.",True - The context suggests that Basic Fibroblast Growth Factor fused with tandem collagen-binding domains from Clostridium histolyticum Collagenase ColG increases bone formation.
calcium phosphate paste,bone formation,pos,direct,30671652,The injectable DNA-loaded calcium phosphate paste led to a faster and more sustained bone healing and induced an accelerated bone formation after 4 weeks.,True - Calcium phosphate paste is used in bone grafting and can promote bone formation.,True: calcium phosphate paste promotes bone formation. (The calcium phosphate paste induced accelerated bone formation according to your context.)
PEEK cage,bone formation,pos,direct,20573298,"The PEEK cage maintained a form and osteoconduction ability of internal SAPS, and SAPS promoted bone formation inside the PEEK; therefore, each was in charge of intensity and bone regeneration separately.",Unknown - The role of PEEK (polyetheretherketone) cages in promoting bone formation is not well established.,True - The context suggests that SAPS promoted bone formation inside the PEEK cage.
Osteogenic protein-1,bone formation,pos,direct,8368953,"Osteogenic protein-1 , a member of the transforming growth factor-beta supergene family, induces cartilage and bone formation when implanted in intra- and extraskeletal sites in vivo.",True - Osteogenic protein-1 (also known as BMP-7) is known to promote bone formation.,True: Osteogenic protein-1 promotes bone formation. (Osteogenic protein-1 is described as inducing bone formation in your context.)
HY,bone trabeculae formation,pos,direct,26556578,"HY increased the number of blood vessels, and HY and HY-MWCNT increased bone trabeculae formation at 7Â days of tooth extraction.",Unknown - The role of HY (not clearly defined) in promoting bone trabeculae formation is not well established.,True - The context suggests that both HY and HY-MWCNT increased bone trabeculae formation.
ethanol,bone formation,neg,direct,11981127,"BACKGROUND: Studies in animal models for alcohol abuse have suggested that ethanol inhibits bone growth, decreases bone formation, and increases fracture risk.",True - Ethanol consumption is associated with reduced bone formation and increased risk of osteoporosis.,True: ethanol reduces bone formation. (Ethanol is described as inhibiting bone growth and decreasing bone formation in your context.)
Ipriflavone,bone formation,pos,direct,12058873,"Ipriflavone , a drug used in the treatment of osteoporosis, may promote bone formation during bone remodeling.","Unknown - While ipriflavone has been studied for its potential effects on bone health, its specific role in promoting bone formation is not well established.","True - The context suggests that ipriflavone, a drug used in the treatment of osteoporosis, may promote bone formation during bone remodeling."
DBM group,bone formation scores,pos,direct,23428769,"RESULTS: The DBM group showed higher number of Sharpey's fibers, slightly increased fibrocartilage formation and new bone formation scores than the control group in the 3rd week.",Unknown - DBM (Demineralized bone matrix) is used in bone grafting but whether it promotes bone formation scores is unclear.,True - The context suggests that the DBM group showed increased new bone formation scores.
transplantation of MCP-1-/-,bone formation,neg,direct,25133509,"Conversely, transplantation of MCP-1-/- mouse-derived grafts into host WT mice markedly decreased new bone formation.",Unknown - The effect of transplantation of MCP-1-/- (Monocyte Chemoattractant Protein-1 knockout cells) on bone formation is not well documented.,True - The context suggests that transplantation of MCP-1-/- mouse-derived grafts into host WT mice markedly decreased new bone formation.
teicoplanin,formation of bone,pos,direct,26874630,"RESULTS: It was observed that teicoplanin increased the formation of bone, vascularization, and connective tissue.","Unknown - The role of teicoplanin, an antibiotic, in promoting bone formation is not well established.",True - The context suggests that teicoplanin increased the formation of bone.
rhBMP-2,bone formation,pos,direct,9240382,"However, the finding that rhBMP-2 induced bone formation at some distance from the defect suggests the importance of developing a suitable delivery system to maintain the concentration of BMP-2 at the site of implantation for potential therapeutic use.",True - rhBMP-2 (recombinant human Bone Morphogenetic Protein-2) is used clinically to promote bone formation.,True: rhBMP-2 promotes bone formation. (rhBMP-2 induced bone formation according to your context.)
indomethacin,Bone formation,neg,direct,12439195,Bone formation following intramedullary femoral reaming is decreased by indomethacin and antibodies to insulin-like growth factors.,"True - Indomethacin, an NSAID, is known to reduce bone formation.",True: indomethacin reduces bone formation. (Bone formation is decreased by indomethacin in your context.)
insulin-like growth factors,Bone formation,neg,direct,12439195,Bone formation following intramedullary femoral reaming is decreased by indomethacin and antibodies to insulin-like growth factors.,False - Insulin-like growth factors are known to promote bone formation.,True - The context suggests that bone formation following intramedullary femoral reaming is decreased by indomethacin and antibodies to insulin-like growth factors.
Bone morphogenetic proteins,bone formation,pos,direct,20200943,Bone morphogenetic proteins  participate in multiple stages of the fetal skeletogenic program from promoting cell condensation to regulating chondrogenesis and bone formation through endochondral ossification.,True - Bone morphogenetic proteins are known to promote bone formation.,True: Bone morphogenetic proteins promote bone formation. (They participate in multiple stages of bone formation according to your context.)
PTH,bone formation,pos,direct,26358080,PTH increased bone formation in the defect area.,False - PTH (Parathyroid hormone) generally promotes bone formation when given intermittently.,True - The context suggests that PTH increased bone formation in the defect area.
simvastatin implant,bone formation,pos,direct,24016857,"We found that local simvastatin implant increased bone formation by 51.8%  and 64.8%  compared with polyglycolic acid controls , as verified by X-ray, CT, and histology.",True - Simvastatin implants have been shown to promote bone formation in certain studies.,True: simvastatin implant promotes bone formation. (Simvastatin implant increased bone formation according to your context.)
OGP treatment,bone formation,pos,direct,21672349,"Evidence from biomechanical, histological and radiographic evaluations demonstrated that systemic OGP treatment promoted optimal new bone formation during distraction osteogenesis in this rabbit model.",Unknown - The effect of OGP (osteoinductive growth peptide) treatment on bone formation is not well established.,True - The context suggests that systemic OGP treatment promoted optimal new bone formation.
TG,bone formation,pos,direct,29764006,In vivo studies involving mouse calvarial bone defects with Î¼CT and histologic analysis revealed that TG significantly increased new bone formation.,Unknown - The role of TG (not clearly defined) in promoting bone formation is not well established.,True - The context suggests that TG significantly increased new bone formation in vivo.
antiresorptive agents,bone formation,neg,direct,23408642,"As a result of reduced hard callus turnover, bone formation was reduced with antiresorptive agents at these time points.","True - Antiresorptive agents, like bisphosphonates, generally reduce bone turnover, which includes both bone resorption and bone formation.",True: antiresorptive agents reduce bone formation. (Antiresorptive agents reduced bone formation in your context.)
therapeutic dose of TGF-beta,bone formation,pos,direct,9086900,The results from the study suggest a single therapeutic dose of TGF-beta 1 delivered in an appropriate carrier to a critical-sized intraosseous wound should promote bone formation.,True - Therapeutic doses of TGF-beta are generally considered to promote bone formation.,True: therapeutic dose of TGF-beta promotes bone formation. (A therapeutic dose of TGF-beta is suggested to promote bone formation in your context.)
Zoledronate,bone formation,pos,direct,28345127,Zoledronate promotes bone formation by blocking osteocyte-osteoblast communication during bone defect healing.,"False - Zoledronate is a bisphosphonate that reduces bone resorption, but this also can lead to a secondary reduction in bone formation.",True - The context suggests that zoledronate promotes bone formation by blocking osteocyte-osteoblast communication during bone defect healing.
zoledronate,Bone formation,neg,direct,19043138,Bone formation in a carbonate-substituted hydroxyapatite implant is inhibited by zoledronate: the importance of bioresorption to osteoconduction.,"True - Zoledronate, like other bisphosphonates, inhibits bone resorption which can result in a secondary reduction in bone formation.",True: zoledronate reduces bone formation. (Zoledronate is described as inhibiting bone formation in your context.)
sclerostin antibody,bone formation,pos,direct,20499342,"Thus, as measured by the amount of bone and its mechanical resistance, the sclerostin antibody increased bone formation during metaphyseal repair but also in untraumatized bone.","True - Sclerostin antibody is used to promote bone formation, as it inhibits a natural inhibitor of bone formation.",True: sclerostin antibody promotes bone formation. (The sclerostin antibody increased bone formation in your context.)
Sclerostin neutralizing antibody,bone formation,pos,direct,29694687,Sclerostin neutralizing antibody  increases bone formation.,True - Neutralizing antibodies against sclerostin are being investigated as treatments for osteoporosis due to their potential to promote bone formation.,True: Sclerostin neutralizing antibody promotes bone formation. (Sclerostin neutralizing antibody is said to increase bone formation in your context.)
Fibroin scaffolds,bone formation,pos,direct,22166080,"Fibroin scaffolds induced mature bone formation and defect correction, with higher bone amount produced by hAFSC-seeded scaffolds.",True - Fibroin scaffolds are used in tissue engineering to promote bone formation.,True: Fibroin scaffolds promotes bone formation. (Fibroin scaffolds are described as inducing mature bone formation in your context.)
irisin,bone formation,pos,direct,34639200,"Our findings suggest that irisin promotes bone formation in the bony callus and accelerates the fracture repair process, suggesting a possible use as a novel pharmacologic modulator of fracture healing.",False - Irisin is a hormone that has been reported to promote bone formation.,True - The context suggests that irisin promotes bone formation in the bony callus and accelerates the fracture repair process.
Bone morphogenetic proteins,endochondral bone formation,pos,direct,11314095,Bone morphogenetic proteins  are capable of inducing endochondral bone formation when applied on biologic carriers in numerous mammalian in vivo assay systems.,True - Bone morphogenetic proteins (BMPs) are known to promote endochondral bone formation.,True: Bone morphogenetic proteins promote endochondral bone formation. (Bone morphogenetic proteins can induce endochondral bone formation according to your context.)
Oxytocin,bone formation,pos,direct,22525945,Oxytocin promotes bone formation during the alveolar healing process in old acyclic female rats.,True - Recent studies suggest that oxytocin may play a role in promoting bone formation.,True: Oxytocin promotes bone formation. (Oxytocin is described as promoting bone formation in the context.)
fludarabine,bone formation,pos,direct,20063384,"Furthermore, we found that fludarabine, a potent STAT1 inhibitor, significantly increases bone formation in a heterotopic ossification model.",False - Fludarabine is a chemotherapy drug and is not known to promote bone formation.,"True - The context suggests that fludarabine, a potent STAT1 inhibitor, significantly increases bone formation"
E2F8,expression of epithelial-mesenchymal transition,pos,direct,31929759,"To demonstrate the function of E2F8 in cell proliferation, migration and invasion, we knocked down E2F8 in cervical cancer cell lines; in vitro and in vivo experiments using this knockdown showed that E2F8 potently induced the expression of epithelial-mesenchymal transition  markers.",Unknown - The role of E2F8 in promoting epithelial-mesenchymal transition (EMT) is not well defined.,Statement: True. (The context suggests that E2F8 potently induced the expression of epithelial-mesenchymal transition markers.)
metformin,epithelial-to-mesenchymal transition,neg,direct,26718214,"Finally, metformin suppressed epithelial-to-mesenchymal transition of mammary epithelial cells.",True - Metformin has been shown to reduce epithelial-to-mesenchymal transition.,True: Metformin reduces epithelial-to-mesenchymal transition.
